Stationsname;X_Wert;Y_Wert;ohne Einfluss durch Vegetation:;Hinweis auf Auffälligkeit:
01.01 Zhl I - Regenmesser;380,696;5,810,589;;
01.02 Zhl II - Regenmesser;382,106;5,807,868;geprüft;
01.07 Zhl I e - Regenmesser;373,491;5,807,708;;Einfluss durch Vegetation
01.09 Zhl I h - Regenmesser;375,249;5,809,561;;
02.01 Stg - Regenmesser;386,345;5,811,378;geprüft;
02.05 Mfd I - Regenmesser;389,591;5,808,219;geprüft;
02.07 Lrd - Regenmesser;391,282;5,805,545;geprüft;
03.01 Wil - Regenmesser;386,535;5,817,361;;
03.08 Wil a - Regenmesser;381,961;5,815,952;;Einfluss durch Vegetation
03.09 Wilm m - Regenmesser;383,240;5,817,564;;
04.01 Chb I - Regenmesser;383,753;5,820,469;;
04.17 Bln IX - Regenmesser;387,281;5,822,668;;
05.01 Spa I - Regenmesser;378,030;5,820,487;geprüft;
05.02 Spa II - Regenmesser;380,046;5,822,542;geprüft;
05.03 Spa III - Regenmesser;377,965;5,824,539;;Einfluss durch Vegetation
05.15 Spa I a - Regenmesser;376,423;5,817,108; ;Einfluss durch Vegetation
05.19 Spa V c - Regenmesser;373,926;5,821,924;;Einfluss durch Vegetation
06.01 Wit - Regenmesser;385,363;5,826,964; ;
06.02 Rei I - Regenmesser;388,002;5,825,290;geprüft;
06.05 Waid a - Regenmesser;382,621;5,832,425;;
06.12 Hlg - Regenmesser;380,626;5,829,490;geprüft;
08.01 Bln II - Regenmesser;391,255;5,817,636;;Einfluss durch Vegetation
08.07 Nkn I - Regenmesser;394,216;5,816,088;geprüft;
08.08 Nkn II - Regenmesser;395,804;5,814,401;geprüft;
11.01 Bri - Regenmesser;395,210;5,812,448;;Einfluss durch Vegetation
11.02 Rud - Regenmesser;397,459;5,809,761;;Einfluss durch Vegetation
11.03 Joh - Regenmesser;398,351;5,811,334;;Einfluss durch Vegetation
11.06 Grü - Regenmesser;403,226;5,808,311;geprüft;
11.10 Grü c - Regenmesser;407,627;5,803,929;geprüft;verzögert
12.01 Köp I - Regenmesser;403,704;5,811,392;;Einfluss durch Vegetation
12.08 Fhg - Regenmesser;406,236;5,812,025;;
12.11 Köp I f - Regenmesser;409,626;5,807,958;;
12.12 Hes - Regenmesser;412,854;5,809,587;;gestört, unbrauchbar
13.01 Lbg - Regenmesser;397,409;5,817,491;;
13.02 Bie I - Regenmesser;401,885;5,817,906;;Einfluss durch Vegetation
13.04 Owd - Regenmesser;398,934;5,813,645;;Einfluss durch Vegetation
13.17 Bie Ie - Regenmesser;401,404;5,818,190;;
14.01 Bln V - Regenmesser;393,308;5,819,010;;Einfluss durch Vegetation
14.02 Bln IV  - Regenmesser;389,804;5,821,902;;
14.03 Bln XII - Regenmesser;395,104;5,818,245;;Einfluss durch Vegetation
14.06 Bln XI - Regenmesser;394,132;5,822,828;;
14.08 Bln X - Regenmesser;390,460;5,823,832;;
15.01 Mar I - Regenmesser;400,826;5,822,711;;Einfluss durch Vegetation
15.05 Mal - Regenmesser;397,746;5,825,312;;Einfluss durch Vegetation
15.07 Hsch - Regenmesser;397,853;5,822,843;;gestört, unbrauchbar
16.01 Kar - Regenmesser;395,279;5,830,363;;Einfluss durch Vegetation
16.06 Ros - Regenmesser;390,368;5,827,873;geprüft;
16.09 Bla - Regenmesser;390,657;5,830,942;;
